Designation,G(kg/m),h(mm),b(mm),s(mm),t(mm),A(cm2)
CH-76x38x7,6.7,76.2,38.1,5.1,6.8,8.6
CH-102x51x10,10.4,101.6,50.8,6.1,7.6,13.1
CH-127x64x15,14.9,127,63.5,6.4,9.2,18.8
CH-152x76x18,17.9,152.4,76.2,6.4,9,22.5
CH-152x89x24,23.9,152.4,88.9,7.1,11.6,30
CH-178x76x21,20.8,177.8,76.2,6.6,10.3,26.4
CH-178x89x27,26.8,177.8,88.9,7.6,12.3,33.8
CH-203x76x24,23.9,203.2,76.2,7.1,11.2,30.3
CH-203x89x30,29.8,203.2,88.9,8.1,12.9,37.6
CH-229x76x26,26.1,228.6,76.2,7.6,11.2,33.1
CH-229x89x33,32.7,228.6,88.9,8.6,13.3,41.4
CH-254x76x28,28.2,254,76.2,8.1,10.9,35.9
CH-254x89x36,35.7,254,88.9,9.1,13.6,45.3
CH-305x89x42,41.8,304.8,88.9,10.2,13.7,53
CH-305x102x46,46.2,304.8,101.6,10.2,14.8,58.1
CH-381x102x55,55,381,101.6,10.4,16.3,69.6
CH-432x102x65,65.5,431.8,101.6,12.2,16.8,82.4
