Designation,G(kg/m),h(mm),b(mm),s(mm),t(mm),A(cm2)
HD-260x54.1,54.1,244.0,260.0,6.5,9.5,69.0
HD-260x68.2,68.2,250.0,260.0,7.5,12.5,86.8
HD-260x93.0,93.0,260.0,260.0,10.0,17.5,118.4
HD-260x114,114,268.0,262.0,12.5,21.5,145.7
HD-260x142,142,278.0,265.0,15.5,26.5,180.3
HD-260x172,172,290.0,268.0,18.0,32.5,219.6
HD-260x225,225,309.0,271.0,24.0,42.0,286.6
HD-260x299,299,335.0,278.0,31.0,55.0,380.5
HD-320x74.2,74.2,301.0,300.0,8.0,11.0,94.6
HD-320x97.6,97.6,310.0,300.0,9.0,15.5,124.4
HD-320x127,127,320.0,300.0,11.5,20.5,161.3
HD-320x158,158,330.0,303.0,14.5,25.5,201.2
HD-320x198,198,343.0,306.0,18.0,32.0,252.3
HD-320x245,245,359.0,309.0,21.0,40.0,312.0
HD-320x300,300,375.0,313.0,27.0,48.0,382.1
HD-360x134,134,356.0,369.0,11.2,18.0,170.6
HD-360x147,147,360.0,370.0,12.3,19.8,187.9
HD-360x162,162,364.0,371.0,13.3,21.8,206.3
HD-360x179,179,368.0,373.0,15.0,23.9,228.3
HD-360x196,196,372.0,374.0,16.4,26.2,250.3
HD-400x187,187,368.0,391.0,15.0,24.0,237.6
HD-400x216,216,375.0,394.0,17.3,27.7,275.5
HD-400x237,237,380.0,395.0,18.9,30.2,300.9
HD-400x262,262,387.0,398.0,21.1,33.3,334.6
HD-400x287,287,393.0,399.0,22.6,36.6,366.3
HD-400x314,314,399.0,401.0,24.9,39.6,399.2
HD-400x347,347,407.0,404.0,27.2,43.7,442.0
HD-400x382,382,416.0,406.0,29.8,48.0,487.1
HD-400x421,421,425.0,409.0,32.8,52.6,537.1
HD-400x463,463,435.0,412.0,35.8,57.4,589.5
HD-400x509,509,446.0,416.0,39.1,62.7,649.0
HD-400x551,551,455.0,418.0,42.0,67.6,701.4
HD-400x592,592,465.0,421.0,45.0,72.3,754.9
HD-400x634,634,474.0,424.0,47.6,77.1,808.0
HD-400x677,677,483.0,428.0,51.2,81.5,863.4
HD-400x744,744,498.0,432.0,55.6,88.9,948.1
HD-400x818,818,514.0,437.0,60.5,97.0,1043.3
HD-400x900,900,531.0,442.0,65.9,106.0,1149.2
HD-400x990,990,550.0,448.0,71.9,115.0,1262.4
HD-400x1086,1086,569.0,454.0,78.0,125.0,1385.8
HD-400x1202,1202,580.0,471.0,95.0,130.0,1530.5
HD-400x1299,1299,600.0,476.0,100.0,140.0,1654.7
