Designation,G(kg/m),h(mm),b(mm),s(mm),t(mm),A(cm2)
HL-920x344,344,927,418,19.3,32,437.2
HL-920x368,368,931,419,20.3,34.3,465.6
HL-920x390,390,936,420,21.3,36.6,494.3
HL-920x420,420,943,422,22.5,39.9,534.1
HL-920x449,449,948,423,24,42.7,571.4
HL-920x491,491,957,422,25.9,47,623.3
HL-920x537,537,965,425,28.4,51.1,682.5
HL-920x588,588,975,427,31,55.9,748.1
HL-920x656,656,987,431,34.5,62,835.3
HL-920x725,725,999,434,38.1,68.1,922.9
HL-920x787,787,1011,437,40.9,73.9,1002
HL-920x970,970,1043,446,50,89.9,1236.6
HL-920x1077,1077,1061,451,55,99.1,1371.5
HL-920x1194,1194,1081,457,60.5,109,1521.5
HL-920x1269,1269,1093,461,64,115.1,1616.5
HL-920x1377,1377,1093,473,76.7,115.1,1753.7
HL-1000-AA,296,982,400,16.5,27.1,377.6
HL-1000-A,321,990,400,16.5,31,408.8
HL-1000-B,371,1000,400,19,36.1,472.8
HL-1000-M,412,1008,402,21.1,40,525.1
HL-1000x443,443,1012,402,23.6,41.9,563.7
HL-1000x483,483,1020,404,25.4,46,615.1
HL-1000x539,539,1030,407,28.4,51.1,687.2
HL-1000x554,554,1032,408,29.5,52,705.8
HL-1000x591,591,1040,409,31,55.9,752.7
HL-1000x642,642,1048,412,34,60,817.6
HL-1000x748,748,1068,417,39,70,953.4
HL-1000x883,883,1092,424,45.5,82,1125.3
HL-1000x976,976,1108,428,50,89.9,1241.4
HL-1100-A,343,1090,400,18,31,436.5
HL-1100-B,390,1100,400,20,36,497
HL-1100-M,433,1108,402,22,40,551.2
HL-1100-R,499,1118,405,26,45,635.2
HL-1100x548,548,1128,407,28,50,698.3
HL-1100x607,607,1138,410,31,55,773.1
