Designation,G(kg/m),h(mm),b(mm),s(mm),t(mm),A(cm2)
HP-200x43,42.5,200.0,205.0,9.0,9.0,54.1
HP-200x53,53.5,204.0,207.0,11.3,11.3,68.4
HP-220x57,57.2,210.0,224.5,11.0,11.0,72.9
HP-260x75,75.0,249.0,265.0,12.0,12.0,95.5
HP-260x87,87.3,253.0,267.0,14.0,14.0,111.0
HP-305x79,78.9,299.3,306.4,11.0,11.1,100.5
HP-305x88,88.5,301.7,307.8,12.4,12.3,112.1
HP-305x95,94.9,303.7,308.7,13.3,13.3,121.0
HP-305x110,110,307.9,310.7,15.3,15.4,140.1
HP-305x126,126,312.3,312.9,17.5,17.6,160.6
HP-305x149,149,318.5,316.0,20.6,20.7,189.9
HP-305x180,180,326.7,319.7,24.8,24.8,229.3
HP-305x186,186,328.3,320.9,25.5,25.6,236.9
HP-305x223,223,337.9,325.7,30.3,30.4,284.0
HP-320x88,88.5,303.0,304.0,12.0,12.0,112.7
HP-320x103,103,307.0,306.0,14.0,14.0,131.0
HP-320x117,117,311.0,308.0,16.0,16.0,149.5
HP-320x147,147,319.0,312.0,20.0,20.0,186.9
HP-320x184,184,329.0,317.0,25.0,25.0,234.5
HP-360x109,109,346.4,371.0,12.8,12.9,138.7
HP-360x133,133,352.0,373.8,15.6,15.7,169.4
HP-360x152,152,356.4,376.0,17.8,17.9,193.7
HP-360x174,174,361.4,378.5,20.3,20.4,221.5
HP-360x180,180,362.9,378.8,21.1,21.1,229.5
HP-400x122,122,348.0,390.0,14.0,14.0,155.9
HP-400x140,140,352.0,392.0,16.0,16.0,178.6
HP-400x158,158,356.0,394.0,18.0,18.0,201.4
HP-400x176,176,360.0,396.0,20.0,20.0,224.3
HP-400x194,194,364.0,398.0,22.0,22.0,247.5
HP-400x213,213,368.0,400.0,24.0,24.0,270.7
HP-400x231,231,372.0,402.0,26.0,26.0,294.2
