Designation,G(kg/m),h(mm),b(mm),s(mm),t(mm),A(cm2),
H-40x20x2,1.68,40,20,2,2,2.14,
H-40x20x2.5,2.03,40,20,2.5,2.5,2.59,
H-40x20x3,2.36,40,20,3,3,3.01,
H-40x30x2,1.99,40,30,2,2,2.54,
H-40x30x2.5,2.42,40,30,2.5,2.5,3.09,
H-40x30x3,2.83,40,30,3,3,3.61,
H-50x30x2,2.31,50,30,2,2,2.94,
H-50x30x2.5,2.82,50,30,2.5,2.5,3.59,
H-50x30x3,3.3,50,30,3,3,4.21,
H-50x30x4,4.2,50,30,4,4,5.35,
H-60x40x2,2.93,60,40,2,2,3.74,
H-60x40x2.5,3.6,60,40,2.5,2.5,4.59,
H-60x40x3,4.25,60,40,3,3,5.41,
H-60x40x4,5.45,60,40,4,4,6.95,
H-60x40x5,6.56,60,40,5,5,8.36,
H-70x50x2,3.56,70,50,2,2,4.54,
H-70x50x2.5,4.39,70,50,2.5,2.5,5.59,
H-70x50x3,5.19,70,50,3,3,6.61,
H-70x50x4,6.71,70,50,4,4,8.55,
H-70x50x5,8.13,70,50,5,5,10.36,
H-80x40x2,3.56,80,40,2,2,4.54,
H-80x40x2.5,4.39,80,40,2.5,2.5,5.59,
H-80x40x3,5.19,80,40,3,3,6.61,
H-80x40x4,6.71,80,40,4,4,8.55,
H-80x40x5,8.13,80,40,5,5,10.36,
H-80x60x2.5,5.17,80,60,2.5,2.5,6.59,
H-80x60x3,6.13,80,60,3,3,7.81,
H-80x60x4,7.97,80,60,4,4,10.15,
H-80x60x5,9.7,80,60,5,5,12.36,
H-90x50x2.5,5.17,90,50,2.5,2.5,6.59,
H-90x50x3,6.13,90,50,3,3,7.81,
H-90x50x4,7.97,90,50,4,4,10.15,
H-90x50x5,9.7,90,50,5,5,12.36,
H-100x40x2.5,5.17,100,40,2.5,2.5,6.59,
H-100x40x3,6.13,100,40,3,3,7.81,
H-100x40x4,7.97,100,40,4,4,10.15,
H-100x40x5,9.7,100,40,5,5,12.36,
H-100x50x2.5,5.56,100,50,2.5,2.5,7.09,
H-100x50x3,6.6,100,50,3,3,8.41,
H-100x50x4,8.59,100,50,4,4,10.95,
H-100x50x5,10.5,100,50,5,5,13.36,
H-100x50x6,12.3,100,50,6,6,15.63,
H-100x50x6.3,12.5,100,50,6.3,6.3,15.95,
H-100x60x2.5,5.96,100,60,2.5,2.5,7.59,
H-100x60x3,7.07,100,60,3,3,9.01,
H-100x60x4,9.22,100,60,4,4,11.75,
H-100x60x5,11.3,100,60,5,5,14.36,
H-100x60x6,11.32,100,60,6,6,16.83,
H-100x60x6.3,11.35,100,60,6.3,6.3,17.21,
H-100x80x2.5,6.74,100,80,2.5,2.5,8.59,
H-100x80x3,8.01,100,80,3,3,10.21,
H-100x80x4,10.5,100,80,4,4,13.35,
H-100x80x5,12.8,100,80,5,5,16.36,
H-100x80x6,15.1,100,80,6,6,19.23,
H-100x80x6.3,15.5,100,80,6.3,6.3,19.73,
H-120x40x2.5,5.96,120,40,2.5,2.5,7.59,
H-120x40x3,7.07,120,40,3,3,9.01,
H-120x40x4,9.22,120,40,4,4,11.75,
H-120x40x5,11.3,120,40,5,5,14.36,
H-120x40x6,13.2,120,40,6,6,16.83,
H-120x40x6.3,13.5,120,40,6.3,6.3,17.21,
H-120x50x2.5,6.35,120,50,2.5,2.5,8.09,
H-120x50x3,7.54,120,50,3,3,9.61,
H-120x50x4,9.85,120,50,4,4,12.55,
H-120x50x5,12.1,120,50,5,5,15.36,
H-120x50x6,14.2,120,50,6,6,18.03,
H-120x50x6.3,14.5,120,50,6.3,6.3,18.47,
H-120x60x2.5,6.74,120,60,2.5,2.5,8.59,
H-120x60x3,8.01,120,60,3,3,10.21,
H-120x60x4,10.5,120,60,4,4,13.35,
H-120x60x5,12.8,120,60,5,5,16.36,
H-120x60x6,15.1,120,60,6,6,19.23,
H-120x60x6.3,15.5,120,60,6.3,6.3,19.73,
H-120x80x2.5,7.53,120,80,2.5,2.5,9.59,
H-120x80x3,8.96,120,80,3,3,11.41,
H-120x80x4,11.7,120,80,4,4,14.95,
H-120x80x5,14.4,120,80,5,5,18.36,
H-120x80x6,17,120,80,6,6,21.63,
H-120x80x6.3,17.5,120,80,6.3,6.3,22.25,
H-120x80x7.1,19.4,120,80,7.1,7.1,24.65,
H-120x80x8,21.4,120,80,8,8,27.24,
H-120x80x8.8,23.1,120,80,8.8,8.8,29.44,
H-120x80x10,25.6,120,80,10,10,32.57,
H-120x100x2.5,8.31,120,100,2.5,2.5,10.59,
H-120x100x3,9.9,120,100,3,3,12.61,
H-120x100x4,13,120,100,4,4,16.55,
H-120x100x5,16,120,100,5,5,20.36,
H-120x100x6,18.9,120,100,6,6,24.03,
H-120x100x6.3,19.4,120,100,6.3,6.3,24.77,
H-140x60x2.5,7.53,140,60,2.5,2.5,9.59,
H-140x60x3,8.96,140,60,3,3,11.41,
H-140x60x4,11.7,140,60,4,4,14.95,
H-140x60x5,14.4,140,60,5,5,18.36,
H-140x60x6,17,140,60,6,6,21.63,
H-140x60x6.3,17.5,140,60,6.3,6.3,22.25,
H-140x70x2.5,7.92,140,70,2.5,2.5,10.09,
H-140x70x3,9.43,140,70,3,3,12.01,
H-140x70x4,12.4,140,70,4,4,15.75,
H-140x70x5,15.2,140,70,5,5,19.36,
H-140x70x6,17.9,140,70,6,6,22.83,
H-140x70x6.3,18.5,140,70,6.3,6.3,23.51,
H-140x80x3,9.9,140,80,3,3,12.61,
H-140x80x4,13,140,80,4,4,16.55,
H-140x80x5,16,140,80,5,5,20.36,
H-140x80x6,18.9,140,80,6,6,24.03,
H-140x80x6.3,19.4,140,80,6.3,6.3,24.77,
H-150x50x2.5,7.53,150,50,2.5,2.5,9.59,
H-150x50x3,8.96,150,50,3,3,11.41,
H-150x50x4,11.7,150,50,4,4,14.95,
H-150x50x5,14.4,150,50,5,5,18.36,
H-150x50x6,17,150,50,6,6,21.63,
H-150x50x6.3,17.5,150,50,6.3,6.3,22.25,
H-150x100x3,11.3,150,100,3,3,14.41,
H-150x100x4,14.9,150,100,4,4,18.95,
H-150x100x5,18.3,150,100,5,5,23.36,
H-150x100x6,21.7,150,100,6,6,27.63,
H-150x100x6.3,22.4,150,100,6.3,6.3,28.55,
H-150x100x7.1,24.9,150,100,7.1,7.1,31.75,
H-150x100x8,27.7,150,100,8,8,35.24,
H-150x100x8.8,30,150,100,8.8,8.8,38.24,
H-150x100x10,33.4,150,100,10,10,42.57,
H-160x70x4,13.6,160,70,4,4,17.35,
H-160x70x5,16.8,160,70,5,5,21.36,
H-160x70x6,19.8,160,70,6,6,25.23,
H-160x70x6.3,20.4,160,70,6.3,6.3,26.03,
H-160x70x8,25.2,160,70,8,8,32.04,
H-160x80x3,10.8,160,80,3,3,13.81,
H-160x80x4,14.3,160,80,4,4,18.15,
H-160x80x5,17.6,160,80,5,5,22.36,
H-160x80x6,20.8,160,80,6,6,26.43,
H-160x80x6.3,21.4,160,80,6.3,6.3,27.29,
H-160x80x7.1,23.8,160,80,7.1,7.1,30.33,
H-160x80x8,26.4,160,80,8,8,33.64,
H-160x80x8.8,28.6,160,80,8.8,8.8,36.48,
H-160x80x10,31.8,160,80,10,10,40.57,
H-160x90x3,11.3,160,90,3,3,14.41,
H-160x90x4,14.9,160,90,4,4,18.95,
H-160x90x5,18.3,160,90,5,5,23.36,
H-160x90x6,21.7,160,90,6,6,27.63,
H-160x90x6.3,22.4,160,90,6.3,6.3,28.55,
H-160x90x7.1,24.9,160,90,7.1,7.1,31.75,
H-160x90x8,27.7,160,90,8,8,35.24,
H-160x90x8.8,30,160,90,8.8,8.8,38.24,
H-180x100x4,16.8,180,100,4,4,21.35,
H-180x100x5,20.7,180,100,5,5,26.36,
H-180x100x5.6,23,180,100,5.6,5.6,29.3,
H-180x100x6,24.5,180,100,6,6,31.23,
H-180x100x6.3,25.4,180,100,6.3,6.3,32.33,
H-180x100x7.1,28.3,180,100,7.1,7.1,36.01,
H-180x100x8,31.4,180,100,8,8,40.04,
H-180x100x8.8,34.2,180,100,8.8,8.8,43.52,
H-180x100x10,38.1,180,100,10,10,48.57,
H-180x120x4,18,180,120,4,4,22.95,
H-180x120x5,22.3,180,120,5,5,28.36,
H-180x120x6,26.4,180,120,6,6,33.63,
H-180x120x6.3,27.4,180,120,6.3,6.3,34.85,
H-180x120x7.1,30.5,180,120,7.1,7.1,38.85,
H-180x120x8,34,180,120,8,8,43.24,
H-180x120x8.8,36.9,180,120,8.8,8.8,47.04,
H-180x120x10,41.3,180,120,10,10,52.57,
H-180x120x12.5,48.7,180,120,12.5,12.5,62.04,
H-200x80x4,16.8,200,80,4,4,21.35,
H-200x80x5,20.7,200,80,5,5,26.36,
H-200x80x6,24.5,200,80,6,6,31.23,
H-200x80x6.3,25.4,200,80,6.3,6.3,32.33,
H-200x80x7.1,28.3,200,80,7.1,7.1,36.01,
H-200x80x8,31.4,200,80,8,8,40.04,
H-200x80x8.8,34.2,200,80,8.8,8.8,43.52,
