Designation,G(kg/m),h(mm),b(mm),s(mm),t(mm),A(cm2)
IPN-80,5.9,80.0,42.0,3.9,5.9,7.6
IPN-100,8.3,100.0,50.0,4.5,6.8,10.6
IPN-120,11.1,120.0,58.0,5.1,7.7,14.2
IPN-140,14.3,140.0,66.0,5.7,8.6,18.2
IPN-160,17.9,160.0,74.0,6.3,9.5,22.8
IPN-180,21.9,180.0,82.0,6.9,10.4,27.9
IPN-200,26.2,200.0,90.0,7.5,11.3,33.4
IPN-220,31.1,220.0,98.0,8.1,12.2,39.5
IPN-240,36.2,240.0,106.0,8.7,13.1,46.1
IPN-260,41.9,260.0,113.0,9.4,14.1,53.3
IPN-280,47.9,280.0,119.0,10.1,15.2,61.0
IPN-300,54.2,300.0,125.0,10.8,16.2,69.0
IPN-320,61.0,320.0,131.0,11.5,17.3,77.7
IPN-340,68.0,340.0,137.0,12.2,18.3,86.7
IPN-360,76.1,360.0,143.0,13.0,19.5,97.0
IPN-380,84.0,380.0,149.0,13.7,20.5,107.0
IPN-400,92.4,400.0,155.0,14.4,21.6,117.7
IPN-450,115,450.0,170.0,16.2,24.3,146.9
IPN-500,141,500.0,185.0,18.0,27.0,179.4
IPN-550,166,550.0,200.0,19.0,30.0,212.0
IPN-600,199,600.0,215.0,21.6,32.4,253.7
