Designation,G(kg/m),h(mm),b(mm),s(mm),t(mm),A(cm2)
L-20-20-3.0,0.882,20,20,3.0,3.0,1.12
L-25-25-3.0,1.12,25,25,3.0,3.0,1.42
L-25-25-4.0,1.45,25,25,4.0,4.0,1.85
L-30-30-3.0,1.36,30,30,3.0,3.0,1.74
L-30-30-4.0,1.78,30,30,4.0,4.0,2.27
L-35-35-4.0,2.09,35,35,4.0,4.0,2.67
L-40-40-4.0,2.42,40,40,4.0,4.0,3.08
L-40-40-5.0,2.97,40,40,5.0,5.0,3.79
L-45-45-4.5,3.06,45,45,4.5,4.5,3.9
L-50-50-4.0,3.06,50,50,4.0,4.0,3.89
L-50-50-5.0,3.77,50,50,5.0,5.0,4.8
L-50-50-6.0,4.47,50,50,6.0,6.0,5.69
L-60-60-5.0,4.57,60,60,5.0,5.0,5.82
L-60-60-6.0,5.42,60,60,6.0,6.0,6.91
L-60-60-8.0,7.09,60,60,8.0,8.0,9.03
L-65-65-7.0,6.83,65,65,7.0,7.0,8.7
L-70-70-6.0,6.38,70,70,6.0,6.0,8.13
L-70-70-7.0,7.38,70,70,7.0,7.0,9.4
L-75-75-6.0,6.85,75,75,6.0,6.0,8.73
L-75-75-8.0,8.99,75,75,8.0,8.0,11.4
L-80-80-8.0,9.63,80,80,8.0,8.0,12.3
L-80-80-10.0,11.9,80,80,10.0,10.0,16.1
L-90-90-7.0,9.61,90,90,7.0,7.0,12.2
L-90-90-8.0,10.9,90,90,8.0,8.0,13.9
L-90-90-9.0,12.2,90,90,9.0,9.0,15.5
L-90-90-10.0,13.4,90,90,10.0,10.0,17.1
L-100-100-8.0,12.2,100,100,8.0,8.0,15.5
L-100-100-10.0,15.0,100,100,10.0,10.0,19.2
L-100-100-12.0,17.8,100,100,12.0,12.0,22.7
L-120-120-10.0,18.2,120,120,10.0,10.0,23.2
L-120-120-12.0,21.6,120,120,12.0,12.0,27.5
L-130-130-12.0,23.6,130,130,12.0,12.0,30.0
L-150-150-10.0,23.0,150,150,10.0,10.0,29.3
L-150-150-12.0,27.3,150,150,12.0,12.0,34.8
L-150-150-15.0,33.8,150,150,15.0,15.0,43.0
L-160-160-15.0,36.2,160,160,15.0,15.0,46.1
L-180-180-16.0,43.5,180,180,16.0,16.0,55.4
L-180-180-18.0,48.6,180,180,18.0,18.0,61.9
L-200-200-16.0,48.5,200,200,16.0,16.0,61.8
L-200-200-18.0,54.3,200,200,18.0,18.0,69.1
L-200-200-20.0,59.9,200,200,20.0,20.0,76.3
L-200-200-24.0,71.1,200,200,24.0,24.0,90.6
L-250-250-28.0,104.0,250,250,28.0,28.0,133.0
L-250-250-35.0,128.0,250,250,35.0,35.0,163.0
L-30-20-3.0,1.12,30,20,3.0,3.0,1.43
L-30-20-4.0,1.46,30,20,4.0,4.0,1.86
L-40-20-4.0,1.77,40,20,4.0,4.0,2.26
L-40-25-4.0,1.93,40,25,4.0,4.0,2.46
L-45-30-4.0,2.25,45,30,4.0,4.0,2.87
L-50-30-5.0,2.96,50,30,5.0,5.0,3.78
L-60-30-5.0,3.36,60,30,5.0,5.0,4.28
L-60-40-5.0,3.76,60,40,5.0,5.0,4.79
L-60-40-6.0,4.46,60,40,6.0,6.0,5.68
L-65-50-5.0,4.35,65,50,5.0,5.0,5.54
L-70-50-6.0,5.41,70,50,6.0,6.0,6.89
L-75-50-6.0,5.65,75,50,6.0,6.0,7.19
L-75-50-8.0,7.39,75,50,8.0,8.0,9.41
L-80-40-6.0,5.41,80,40,6.0,6.0,6.89
L-80-40-8.0,7.07,80,40,8.0,8.0,9.01
L-80-60-7.0,7.36,80,60,7.0,7.0,9.38
L-100-50-6.0,6.84,100,50,6.0,6.0,8.71
L-100-50-8.0,8.97,100,50,8.0,8.0,11.4
L-100-65-7.0,8.77,100,65,7.0,7.0,11.2
L-100-65-8.0,9.94,100,65,8.0,8.0,12.7
L-100-65-10.0,12.3,100,65,10.0,10.0,15.6
L-100-75-8.0,10.6,100,75,8.0,8.0,13.5
L-100-75-10.0,13.0,100,75,10.0,10.0,16.6
L-100-75-12.0,15.4,100,75,12.0,12.0,19.7
L-120-80-8.0,12.2,120,80,8.0,8.0,15.5
L-120-80-10.0,15.0,120,80,10.0,10.0,19.1
L-120-80-12.0,17.8,120,80,12.0,12.0,22.7
L-125-75-8.0,12.2,125,75,8.0,8.0,15.5
L-125-75-10.0,15.0,125,75,10.0,10.0,19.1
L-125-75-12.0,17.8,125,75,12.0,12.0,22.7
L-135-65-8.0,12.2,135,65,8.0,8.0,15.5
L-135-65-10.0,15.0,135,65,10.0,10.0,19.1
L-150-75-9.0,15.4,150,75,9.0,9.0,19.6
L-150-75-10.0,17.0,150,75,10.0,10.0,21.7
L-150-75-12.0,20.2,150,75,12.0,12.0,25.7
L-150-75-15.0,24.8,150,75,15.0,15.0,31.7
L-150-90-10.0,18.2,150,90,10.0,10.0,23.2
L-150-90-12.0,21.6,150,90,12.0,12.0,27.6
L-150-90-15.0,26.6,150,90,15.0,15.0,33.9
L-150-100-10.0,19.0,150,100,10.0,10.0,24.2
L-150-100-12.0,22.5,150,100,12.0,12.0,28.7
L-200-100-10.0,23.0,200,100,10.0,10.0,29.2
L-200-100-12.0,27.3,200,100,12.0,12.0,34.8
L-200-100-15.0,33.75,200,100,15.0,15.0,43.0
L-200-150-12.0,32.0,200,150,12.0,12.0,40.8
L-200-150-15.0,39.6,200,150,15.0,15.0,50.5
