Designation,G(kg/m),h(mm),b(mm),s(mm),t(mm),A(cm2)
PFC-100x50x10,10.2,100.0,50.0,5.0,8.5,13.0
PFC-125x65x15,14.8,125.0,65.0,5.5,9.5,18.8
PFC-150x75x18,17.9,150.0,75.0,5.5,10.0,22.8
PFC-150x90x24,23.9,150.0,90.0,6.5,12.0,30.4
PFC-180x75x20,20.3,180.0,75.0,6.0,10.5,25.9
PFC-180x90x26,26.1,180.0,90.0,6.5,12.5,33.2
PFC-200x75x23,23.4,200.0,75.0,6.0,12.5,29.9
PFC-200x90x30,29.7,200.0,90.0,7.0,14.0,37.9
PFC-230x75x26,25.7,230.0,75.0,6.5,12.5,32.7
PFC-230x90x32,32.2,230.0,90.0,7.5,14.0,41.0
PFC-260x75x28,27.6,260.0,75.0,7.0,12.0,35.1
PFC-260x90x35,34.8,260.0,90.0,8.0,14.0,44.4
PFC-300x90x41,41.4,300.0,90.0,9.0,15.5,52.7
PFC-300x100x46,45.5,300.0,100.0,9.0,16.5,58.0
PFC-380x100x54,54.0,380.0,100.0,9.5,17.5,68.7
PFC-430x100x64,64.4,430.0,100.0,11.0,19.0,82.1
