Designation,G(kg/m),h(mm),b(mm),s(mm),t(mm),A(cm2)
T-20x20,0.9,20.0,20.0,3.0,3.0,1.12
T-25x25,1.3,25.0,25.0,3.5,3.5,1.64
T-30x30,1.8,30.0,30.0,4.0,4.0,2.26
T-35x35,2.3,35.0,35.0,4.5,4.5,2.97
T-40x40,3.0,40.0,40.0,5.0,5.0,3.77
T-45x45,3.7,45.0,45.0,5.5,5.5,4.67
T-50x50,4.4,50.0,50.0,6.0,6.0,5.66
T-60x60,6.2,60.0,60.0,7.0,7.0,7.94
T-70x70,8.3,70.0,70.0,8.0,8.0,10.60
T-80x80,10.7,80.0,80.0,9.0,9.0,13.60
T-90x90,13.4,90.0,90.0,10.0,10.0,17.10
T-100x100,16.4,100.0,100.0,11.0,11.0,20.90
T-120x120,23.2,120.0,120.0,13.0,13.0,29.60
T-140x140,31.3,140.0,140.0,15.0,15.0,39.90

