Designation,G(kg/m),h(mm),b(mm),s(mm),t(mm),A(cm2)
UBP-203x203x45,44.9,200.2,205.9,9.5,9.5,57.2
UBP-203x203x54,53.9,204.0,207.7,11.3,11.4,68.7
UBP-254x254x63,63.0,247.1,256.6,10.6,10.7,80.2
UBP-254x254x71,71.0,249.7,258.0,12.0,12.0,90.4
UBP-254x254x85,85.1,254.3,260.4,14.4,14.3,108.4
UBP-305x305x79,78.9,299.3,306.4,11.0,11.1,100.5
UBP-305x305x88,88.0,301.7,307.8,12.4,12.3,112.1
UBP-305x305x95,94.9,303.7,308.7,13.3,13.3,120.9
UBP-305x305x110,110,307.9,310.7,15.3,15.4,140.1
UBP-305x305x126,126,312.3,312.9,17.5,17.6,160.6
UBP-305x305x149,149,318.5,316.0,20.6,20.7,189.9
UBP-305x305x186,186,328.3,320.9,25.5,25.6,236.9
UBP-305x305x223,223,337.9,325.7,30.3,30.4,284.0
UBP-356x368x109,109,346.4,371.0,12.8,12.9,138.7
UBP-356x368x133,133,352.0,373.8,15.6,15.7,169.4
UBP-356x368x152,152,356.4,376.0,17.8,17.9,193.7
UBP-356x368x174,174,361.4,378.5,20.3,20.4,221.5
