Designation,G(kg/m),h(mm),b(mm),s(mm),t(mm),A(cm2)
UB-127x76x13,13.0,127.0,76.0,4.0,7.6,16.5
UB-152x89x16,16.0,152.4,88.7,4.5,7.7,20.3
UB-178x102x19,19.0,177.8,101.2,4.8,7.9,24.3
UB-203x102x23,23.1,203.2,101.8,5.4,9.3,29.4
UB-203x133x25,25.1,203.2,133.2,5.7,7.8,32.0
UB-203x133x30,30.0,206.8,133.9,6.4,9.6,38.2
UB-254x102x22,22.0,254.0,101.6,5.7,6.8,28.0
UB-254x102x25,25.2,257.2,101.9,6.0,8.4,32.0
UB-254x102x28,28.3,260.4,102.2,6.3,10.0,36.1
UB-254x146x31,31.1,251.4,146.1,6.0,8.6,39.7
UB-254x146x37,37.0,256.0,146.4,6.3,10.9,47.2
UB-254x146x43,43.0,259.6,147.3,7.2,12.7,54.8
UB-305x102x25,24.8,305.1,101.6,5.8,7.0,31.6
UB-305x102x28,28.2,308.7,101.8,6.0,8.8,35.9
UB-305x102x33,32.8,312.7,102.4,6.6,10.8,41.8
UB-305x127x37,37.0,304.4,123.4,7.1,10.7,47.2
UB-305x127x42,41.9,307.2,124.3,8.0,12.1,53.4
UB-305x127x48,48.1,311.0,125.3,9.0,14.0,61.2
UB-305x165x40,40.3,303.4,165.0,6.0,10.2,51.3
UB-305x165x46,46.1,306.6,165.7,6.7,11.8,58.7
UB-305x165x54,54.0,310.4,166.9,7.9,13.7,68.8
UB-356x127x33,33.1,349.0,125.4,6.0,8.5,42.1
UB-356x127x39,39.1,353.4,126.0,6.6,10.7,49.8
UB-356x171x45,45.0,351.4,171.1,7.0,9.7,57.3
UB-356x171x51,51.0,355.0,171.5,7.4,11.5,64.9
UB-356x171x57,57.0,358.0,172.2,8.1,13.0,72.6
UB-356x171x67,67.1,363.4,173.2,9.1,15.7,85.5
UB-406x140x39,39.0,398.0,141.8,6.4,8.6,49.7
UB-406x140x46,46.0,403.2,142.2,6.8,11.2,58.6
UB-406x178x54,54.1,402.6,177.7,7.7,10.9,69.0
UB-406x178x60,60.1,406.4,177.9,7.9,12.8,76.5
UB-406x178x67,67.1,409.4,178.8,8.8,14.3,85.5
UB-406x178x74,74.2,412.8,179.5,9.5,16.0,94.5
UB-457x152x52,52.3,449.8,152.4,7.6,10.9,66.6
UB-457x152x60,59.8,454.6,152.9,8.1,13.3,76.2
UB-457x152x67,67.2,458.0,153.8,9.0,15.0,85.6
UB-457x152x74,74.2,462.0,154.4,9.6,17.0,94.5
UB-457x152x82,82.1,465.8,155.3,10.5,18.9,104.5
