Designation,G(kg/m),h(mm),b(mm),s(mm),t(mm),A(cm2)
UC-152x152x23,23.0,152.4,152.2,5.8,6.8,29.2
UC-152x152x30,30.0,157.6,152.9,6.5,9.4,38.3
UC-152x152x37,37.0,161.8,154.4,8.0,11.5,47.1
UC-203x203x46,46.1,203.2,203.6,7.2,11.0,58.7
UC-203x203x52,52.0,206.2,204.3,7.9,12.5,66.3
UC-203x203x60,60.0,209.6,205.8,9.4,14.2,76.4
UC-203x203x71,71.0,215.8,206.4,10.0,17.3,90.4
UC-203x203x86,86.1,222.2,209.1,12.7,20.5,109.6
UC-254x254x73,73.1,254.1,254.6,8.6,14.2,93.1
UC-254x254x89,88.9,260.3,256.3,10.3,17.3,113.3
UC-254x254x107,107,266.7,258.8,12.8,20.5,136.4
UC-254x254x132,132,276.3,261.3,15.3,25.3,168.1
UC-254x254x167,167,289.1,265.2,19.2,31.7,212.9
UC-305x305x97,96.9,307.9,305.3,9.9,15.4,123.4
UC-305x305x118,118,314.5,307.4,12.0,18.7,150.2
UC-305x305x137,137,320.5,309.2,13.8,21.7,174.4
UC-305x305x158,158,327.1,311.2,15.8,25.0,201.4
UC-305x305x198,198,339.9,314.5,19.1,31.4,252.4
UC-305x305x240,240,352.5,318.4,23.0,37.7,305.8
UC-305x305x283,283,365.3,322.2,26.8,44.1,360.4
UC-356x368x129,129,355.6,368.6,10.4,17.5,164.3
UC-356x368x153,153,362.0,370.5,12.3,20.7,194.8
UC-356x368x177,177,368.2,372.6,14.4,23.8,225.5
UC-356x368x202,202,374.6,374.7,16.5,27.0,257.2
UC-356x406x235,235,381.0,394.8,18.4,30.2,299.0
UC-356x406x287,287,393.6,399.0,22.6,36.5,365.7
UC-356x406x340,340,406.4,403.0,26.6,42.9,433.0
UC-356x406x393,393,419.0,407.0,30.6,49.2,500.6
UC-356x406x467,467,436.6,412.2,35.8,58.0,594.9
UC-356x406x509,509,446.0,416.0,39.1,62.7,649.0
UC-356x406x551,551,455.6,418.5,42.1,67.5,701.9
UC-356x406x592,592,465.0,421.0,45.0,72.3,754.9
UC-356x406x634,634,474.6,424.0,47.6,77.0,807.5
UC-356x406x677,677,483.0,428.0,51.2,81.5,863.4
UC-356x406x744,744,498.0,432.0,55.6,88.9,948.1
UC-356x406x818,818,514.0,437.0,60.5,97.0,1043.3
UC-356x406x900,900,531.0,442.0,65.9,106.0,1149.2
UC-356x406x990,990,550.0,448.0,71.9,115.0,1262.4
UC-356x406x1086,1086,569.0,454.0,78.0,125.0,1385.8
UC-356x406x1202,1202,580.0,471.0,95.0,130.0,1530.6
UC-356x406x1299,1299,600.0,476.0,100.0,140.0,1654.8
