Designation,G(kg/m),h(mm),b(mm),s(mm),t(mm),A(cm2)
UPE-80,7.9,80.0,50.0,4.0,7.0,10.1
UPE-100,9.8,100.0,55.0,4.5,7.5,12.5
UPE-120,12.1,120.0,60.0,5.0,8.0,15.4
UPE-140,14.5,140.0,65.0,5.0,9.0,18.4
UPE-160,17.0,160.0,70.0,5.5,9.5,21.7
UPE-180,19.7,180.0,75.0,5.5,10.5,25.1
UPE-200,22.8,200.0,80.0,6.0,11.0,29.0
UPE-220,26.6,220.0,85.0,6.5,12.0,33.9
UPE-240,30.2,240.0,90.0,7.0,12.5,38.5
UPE-270,35.2,270.0,95.0,7.5,13.5,44.8
UPE-300,44.4,300.0,100.0,9.5,15.0,56.6
UPE-330,53.2,330.0,105.0,11.0,16.0,67.8
UPE-360,61.2,360.0,110.0,12.0,17.0,77.9
UPE-400,72.2,400.0,115.0,13.5,18.0,91.9
