Designation,G(kg/m),h(mm),b(mm),s(mm),t(mm),A(cm2)
UPN-50,5.6,50.0,38.0,5.0,7.0,7.1
UPN-65,7.1,65.0,42.0,5.5,7.5,9.0
UPN-80,8.6,80.0,45.0,6.0,8.0,11.0
UPN-100,10.6,100.0,50.0,6.0,8.5,13.5
UPN-120,13.4,120.0,55.0,7.0,9.0,17.0
UPN-140,16.0,140.0,60.0,7.0,10.0,20.4
UPN-160,18.8,160.0,65.0,7.5,10.5,24.0
UPN-180,22.0,180.0,70.0,8.0,11.0,28.0
UPN-200,25.3,200.0,75.0,8.5,11.5,32.2
UPN-220,29.4,220.0,80.0,9.0,12.5,37.4
UPN-240,33.2,240.0,85.0,9.5,13.0,42.3
UPN-260,37.9,260.0,90.0,10.0,14.0,48.3
UPN-280,41.8,280.0,95.0,10.0,15.0,53.3
UPN-300,46.2,300.0,100.0,10.0,16.0,58.8
UPN-320,59.5,320.0,100.0,14.0,17.5,75.8
UPN-350,60.6,350.0,100.0,14.0,16.0,77.3
UPN-380,63.1,380.0,102.0,13.5,16.0,80.4
UPN-400,71.8,400.0,110.0,14.0,18.0,91.5
